pregunta,respuesta,categoria
¿Cuáles son los tiempos de entrega de los productos adquiridos en la tienda online?,"El tiempo de entrega varía según el destino, pero el tiempo de entrega comienza 24 horas después de la confirmación de la guía de despacho.",envio
"Si realizo una compra con varios productos, ¿recibiré todos los productos en un solo envío?","Si tu pedido tiene más de un producto, podría entregarse en más de un envío. Cada envío tendrá su propia guía de seguimiento.",envio
¿Qué debo hacer si no estoy presente para recibir mi pedido?,"Si no estás presente para recibir el pedido, la transportadora realizará otro intento de entrega. Si no es posible entregar en la segunda visita, el pedido será cancelado y se iniciará el proceso de devolución de dinero o nota crédito.",envio
¿El costo de envío se incluye en el precio de los productos?,"El costo de envío se determinará según el lugar de destino, peso y volumen del paquete. El valor del envío se informará al momento de la compra.",envio
¿El envío de productos se realiza durante los fines de semana o en días festivos?,"El envío se realiza solo en días hábiles, de lunes a viernes. No incluye días festivos.",envio
¿Cómo puedo realizar un seguimiento de mi pedido una vez realizado el envío?,Puedes realizar el seguimiento de tu pedido utilizando la guía de despacho proporcionada. La transportadora tiene una plataforma donde puedes rastrear el estado de tu envío.,envio
¿Cuáles son las políticas de reenvío si la entrega no se logra en el primer intento?,"Si no se puede realizar la entrega en el primer intento, la transportadora realizará una segunda visita. Si después de esa visita el producto no puede entregarse, se cancelará el pedido y se iniciará el proceso de devolución.",envio
¿Qué debo hacer si no estoy satisfecho con el tiempo de entrega?,"Si no estás satisfecho con el tiempo de entrega, puedes contactar al servicio de atención al cliente para más información o para resolver cualquier inconveniente.",envio
¿Cuáles son las condiciones para poder realizar un cambio de producto?,"El producto debe estar sin usar, con todas las etiquetas, en su estado original, sin manchas ni alteraciones.",cambio
¿Cuánto tiempo tengo para solicitar un cambio de producto después de recibirlo?,Tienes hasta 30 días calendario para realizar un cambio del producto después de recibirlo.,cambio
¿Puedo cambiar un producto comprado en tienda física por uno comprado online?,"Sí, pero el cambio se debe hacer en la tienda física donde realizaste la compra.",cambio
¿Qué productos no tienen opción a ser cambiados según las políticas?,"Los productos de cuidado del cuero, ropa interior, productos personalizados, tapabocas, cojines de viaje y cosméticos no tienen cambio.",cambio
¿Puedo cambiar un producto que esté en promoción por otro color o talla?,"Los productos en promoción no tienen cambio por color, pero sí puedes cambiar por talla si está disponible.",cambio
¿Cómo puedo realizar una devolución o cambio si compré en línea?,"Puedes contactar al servicio al cliente, quien te enviará instrucciones para devolver el producto. El cambio o devolución se procesará una vez recibamos el producto.",devoluciones
¿Cómo gestiono un cambio de producto si no tengo acceso a la tienda física?,"Si no tienes acceso a la tienda física, puedes gestionar el cambio a través de nuestro canal de atención al cliente online.",devoluciones
¿Qué productos tienen garantía de devolución de dinero?,Todos los productos vendidos en tienda y en línea tienen garantía de devolución de dinero si no estás satisfecho dentro del plazo establecido.,devoluciones
¿Cuál es el tiempo de garantía de los productos?,El tiempo de garantía general es de tres meses desde la fecha de entrega del producto.,devoluciones
¿En qué casos la garantía de un producto no será reconocida?,"La garantía no será reconocida si el producto presenta mal uso, alteraciones o daños causados por el cliente, o si no se siguen las instrucciones de uso y cuidado.",devoluciones
¿Qué debo hacer para realizar un trámite de garantía de un producto defectuoso?,"Para realizar un trámite de garantía, debes presentar el producto junto con la factura de compra en la tienda o contactar a servicio al cliente si lo compraste online.",devoluciones
¿Qué sucede si mi solicitud de garantía es rechazada?,"Si tu solicitud de garantía es rechazada, te informaremos las razones y podrás retirar el producto en la tienda o proceder con otra opción.",garantia
¿Cuánto tiempo tengo para hacer efectiva una garantía?,El plazo para hacer efectiva la garantía es de tres meses desde la fecha de entrega del producto.,garantia
¿Qué tipo de productos tienen una garantía extendida o específica?,Los productos de algunas marcas o líneas pueden tener una garantía extendida. Revisa las condiciones de cada producto al momento de la compra.,garantia
¿Cuál es el proceso para devolver un producto comprado en línea?,"El proceso de devolución consiste en contactar a servicio al cliente, quien te indicará los pasos para devolver el producto y recibir el reembolso.",devoluciones
¿Cuántos días tengo para solicitar la devolución de dinero después de recibir un producto?,Puedes solicitar la devolución dentro de los 30 días calendario posteriores a la entrega del producto.,devoluciones
¿Qué requisitos deben cumplir los productos para que sea aceptada la devolución?,"El producto debe estar sin usar, con todas las etiquetas y en su estado original. Debe ser devuelto con la factura de compra.",garantia
"Si un producto comprado en línea no cumple con mis expectativas, ¿puedo solicitar la devolución del dinero?","Sí, puedes solicitar la devolución del dinero si el producto no cumple con tus expectativas, siempre que esté en las condiciones adecuadas.",garantia
¿Cómo realizo una devolución de productos defectuosos o dañados?,"Para productos defectuosos o dañados, puedes iniciar el proceso de devolución contactando al servicio de atención al cliente.",garantia
¿Los precios mostrados en el sitio web incluyen impuestos?,"Sí, los precios mostrados incluyen impuestos, pero el costo de envío se calcula aparte.",datos
¿Qué debo hacer si noto un error de precio en el sitio web de Cueros Vélez?,"Si notas un error de precio, te recomendamos contactar a servicio al cliente para aclarar cualquier discrepancia antes de realizar la compra.",datos
¿Cómo puedo acceder a la política de privacidad y protección de datos personales?,Puedes acceder a la política de privacidad a través de nuestro sitio web en la sección correspondiente.,datos
¿Cómo puedo reportar prácticas ilegales o éticamente incorrectas relacionadas?,Puedes reportar cualquier práctica incorrecta a través de nuestra Línea de Transparencia o a servicio al cliente.,datos
¿Qué tipos de denuncias puedo realizar a través de la línea de transparencia?,"Puedes reportar fraudes, corrupción, soborno, abusos o cualquier comportamiento que atente contra la integridad de la empresa.",datos
¿Cómo aseguran la confidencialidad de las denuncias realizadas en la línea de transparencia?,"Las denuncias realizadas a través de la línea de transparencia se manejan de forma confidencial, garantizando que la identidad del denunciante se mantenga protegida.",otros
¿Cómo me comunico con el servicio al cliente si tengo un problema con mi pedido o pago?,"Puedes contactar al servicio al cliente a través de nuestra línea telefónica, correo electrónico o WhatsApp.",otros
¿Cuáles son las formas de pago disponibles para comprar en línea?,"Las formas de pago disponibles son tarjeta de crédito, débito y otros métodos de pago online.",otros
